"alih aksara"	noun	transliterasi
"ambek paramaarta"	adjective	"sifat mendahulukan yang perlu didahulukan; sifat mengutamakan yang lebih penting untuk didahulukan"
"atas nama"	noun	"dengan nama"
"bakas lewu"	noun	"kelompok orang yang dituakan (di masyarakat Dayak Olo Ngaju); sesepuh"
"balas dendam"	verb	"perbuatan membalas perbuatan orang lain karena sakit hati atau dengki"
"bango tolak"	noun	"motif kain batik yang berupa kombinasi dua warna, yaitu hitam dan putih, warna hitam di sebelah luar memberi batas pada warna putih sebelah dalam"
"batu bara"	noun	"arang yang diambil dari dalam tanah, berasal dari tumbuhan darat, tumbuhan air, dsb yang telah menjadi batu"
"bebas murni"	noun	"bebas tanpa syarat apa pun (tentang putusan pengadilan)"
"bebas tugas"	verb	"lepas dari tugas atau jabatan (yang menjadi tanggung jawabnya); berhenti bertugas"
"benzoil peroksida"	noun	"senyawa dengan rumus molekul (C6H5CO)2O2 yang digunakan untuk pemulihan tepung terigu"
"beri tahu"	NULL	NULL
"besi tua"	noun	"senjata tajam (pedang, keris, dsb) yang berasal dari zaman dulu dan dianggap sakti"
"besi tua"	noun	"besi bekas barang-barang yang tidak terpakai lagi, seperti bekas mobil, kapal"
"bijak raja"	noun	"warga suatu marga yang memerintah atau berkuasa"
"bit gula"	noun	"tumbuhan dataran tinggi yang umbi akarnya, berwarna merah dapat digunakan untuk membuat gula karena kadar gulanya tinggi"
"bua tanah"	noun	"harga (biaya dsb) yang harus dibayar oleh orang asing yang mengerjakan tanah di wilayah tertentu yang bukan wilayah masyarakat hukum adatnya (di Sulawesi)"
"budi daya"	noun	"usaha yang bermanfaat dan memberi hasil"
"bulu tangkis"	noun	"cabang olahraga yang berupa permainan yang dimainkan dengan memakai raket dan kok yang dipukul melampaui jaring yang direntangkan di tengah lapangan; badminton"
"bumi hangus"	verb	"memusnahkan sama sekali (tentang barang, bangunan, dan gedung penting yang mungkin dipakai oleh musuh) dengan pembakaran"
"bumi rata"	other	membumiratakan
"cacah jiwa"	noun	"perhitungan banyaknya penduduk (jiwa) di suatu daerah"
"cacah jiwa"	noun	"pencatatan atau pendaftaran untuk mengetahui banyaknya penduduk; sensus"
"caci maki"	noun	"kata-kata kotor (tidak sopan) yang dikeluarkan untuk mengumpat seseorang; kata-kata makian (sebagai penghinaan); celaan; cercaan; nistaan; dampratan; maki-makian"
"campur aduk"	verb	"bercampur tidak keruan (tentang berbagai macam barang); campur baur"
"campur baur"	verb	"campur aduk"
"cancan bulan"	noun	"suami yang bertempat tinggal di kediaman kerabat istrinya, tetapi dia mempunyai hak atas anak-anaknya (di Bengkulu)"
"cocok tanam"	verb	"mengusahakan sawah ladang (tanam-tanaman); bertani"
"cocok tanam"	noun	"teknologi untuk menggarap tanah dan tanaman sampai menghasilkan (panen) untuk keperluan hidup manusia"
"dada ruah"	noun	"dada yang membusung"
"daftar hitam"	noun	"daftar nama orang atau organisasi yang dianggap membahayakan keamanan atau daftar nama orang yang pernah dihukum karena melakukan kejahatan"
"dari mana"	pronoun	"kata untuk menanyakan arah ke pembicara"
"dari sana"	pronoun	"kata penunjuk untuk menyatakan arah yang jauh dari pembicara"
"dari sini"	pronoun	"kata penunjuk untuk menyatakan arah yang dekat ke pembicara"
"dari situ"	pronoun	"kata penunjuk yang menyatakan arah yang agak mendekat dengan pembicara"
"datu petinggi"	noun	"kepala adat suatu masyarakat hukum adat di Riau yang terdiri atas empat orang"
"daun nasi"	noun	"tanda berupa tanaman belukar yang menunjukkan bahwa tanahnya adalah hak milik orang yang menanam belukar tersebut"
"daur ulang"	noun	"peredaran ulang suatu masa"
"daur ulang"	noun	"pemrosesan kembali bahan yang pernah dipakai, misal serat, kertas, dan air untuk mendapatkan produk baru"
"daya guna"	noun	"kemampuan mendatangkan hasil dan manfaat; efisien; tepat guna; sangkil"
"daya guna"	noun	"kemampuan menjalankan tugas dengan baik (tentang orang)"
"daya guna"	noun	"angka persen yang menunjukkan perbandingan antara tenaga (energi) yang diperoleh dan tenaga yang diperlukan"
"daya upaya"	noun	"usaha yang sungguh-sungguh untuk mencapai suatu tujuan; ikhtiar"
"di mana"	pronoun	"kata tanya untuk menerangkan tempat"
"di mana"	pronoun	"kata untuk menunjukkan tempat yang tidak tentu"
"di sana"	pronoun	"kata penunjuk untuk menyatakan tempat yang agak jauh dari pembicara"
