lemma_name,lexical_abbreviation,definition_text
"abah-abah kuda",noun,"pakaian kuda (tali kekang, pelana, dsb)"
"abah-abah perahu",noun,"tali-temali perahu"
"abah-abah tenun",noun,"perkakas tenun"
"abar-abar pintu",noun,"alat untuk menutup pintu secara perlahan untuk mengurangi (menghilangkan) bunyi (benturan)"
"abdi dalem",noun,"pegawai keraton"
"abdi masyarakat",noun,"pegawai pemerintah yang pada dasarnya mempunyai kewajiban melayani masyarakat"
"abdi negara",noun,"pegawai yang bekerja pada pemerintah; pegawai negeri"
"aberasi cahaya",noun,"pembiasan tidak seragam dari cahaya sehingga bayangan tampak berubah bentuk"
"aberasi kromosom",noun,"kelainan atau perubahan kromosom, baik dalam jumlah maupun bentuknya"
"aborsi kriminalis",noun,"aborsi yang dilakukan dengan sengaja karena suatu alasan dan bertentangan dengan undang-undang yang berlaku"
"aborsi legal",noun,"aborsi yang dilaksanakan dengan sepengetahuan pihak yang berwenang"
"abortus habitualis",noun,"abortus yang terjadi sebanyak tiga kali"
"abortus inkomplet",noun,"abortus dengan sebagian hasil pembuahan telah keluar, sedangkan sebagian lagi, biasanya plasenta, masih berada dalam rahim"
"abortus komplet",noun,"abortus dengan seluruh isi uterus dan hasil pembuahan telah keluar"
"abortus provokatus",noun,"keguguran karena kesengajaan"
"absorpsi aktif",noun,"absorpsi air oleh tumbuhan dari dalam tanah dengan menggunakan energi metabolik"
"absorpsi pasif",noun,"absorpsi air oleh tumbuhan dari dalam tanah tanpa memerlukan energi tumbuhan itu"
"abu soda",noun,"natrium karbonat komersial, berupa bubuk larut air, tetapi tidak larut dalam alkohol, digunakan dalam kaca dan pengilangan petroleum, sabun, dan detergen"
"abu terbang",noun,"buangan berbentuk partikel halus, tidak dapat terbakar, yang tersangkut dalam aliran gas yang keluar dari dalam tanur abu (buangan)"
"abu tulang",noun,"serbuk putih yang tertinggal sesudah tulang dibakar di udara terbuka"
"abu vulkanis",noun,"partikel lava yang halus yang terembus ketika gunung berapi meletus, kadang-kadang partikel ini berembus tinggi sekali sehingga jatuh di tempat yang sangat jauh"
"acara iklan",noun,"acara di televisi atau radio yang bersifat komersial, berupa penawaran barang atau jasa"
"acara niaga",noun,"acara iklan"
"acara rapat",noun,"hal yang akan dibicarakan dalam rapat"
"acara surat",noun,"pokok isi surat"
"acara tugas",noun,"daftar tugas yang disimpan oleh redaktur"
"aci sagu",verb,"pati sagu"
"acuan cetak",noun,"bingkai atau pelat berisi teks dan/atau gambar yang akan dicetakkan pada bahan cetak"
"acuan sepatu",noun,"alat untuk mengukur bentuk sepatu"
"acuh tak acuh",verb,"tidak menaruh perhatian; tidak mau tahu"
"ada-ada saja",verb,"selalu mempunyai sesuatu untuk dikatakan (diminta dsb)"
"adaptasi cahaya",noun,"penyesuaian pupil mata terhadap cahaya yang meningkat, misal sehabis menonton film yang langsung mendapat cahaya terang"
"adaptasi kebudayaan",noun,"perubahan dalam unsur kebudayaan yang menyebabkan unsur itu dapat berfungsi lebih baik bagi manusia yang mendukungnya"
"adaptasi sosial",noun,"perubahan yang mengakibatkan seseorang dalam suatu kelompok sosial dapat hidup dan berfungsi lebih baik dalam lingkungannya"
"adat bilokal",noun,"pola menetap setelah menikah, untuk masa tertentu suami istri tinggal di sekitar pusat kediaman kerabat suami dan untuk masa tertentu pula harus tinggal di sekitar pusat kediaman kerabat istri"
"adat huma",noun,"hukum adat mengenai masalah agraris"
"adat istiadat",noun,"tata kelakuan yang kekal dan turun-temurun dari generasi satu ke generasi lain sebagai warisan sehingga kuat integrasinya dengan pola perilaku masyarakat"
"adat kemenakan",noun,"ahli waris berdasarkan keturunan pihak ibu; adat matrilineal"
"adat matrilineal",noun,"adat kemenakan"
"adat matrilokal",noun,"pola menetap setelah menikah, suami istri tinggal di sekitar pusat kediaman kerabat istri"
"adat neolokal",noun,"pola menetap setelah menikah, suami istri memilih tempat di luar pusat kediaman kerabat suami atau kerabat istri"
"adat patrilokal",noun,"pola menetap setelah menikah, suami istri harus tinggal di sekitar pusat kediaman kerabat suami"
"adat pemaduan",noun,"denda adat yang harus dibayar oleh suami apabila mengambil istri kedua"
"adat pemali",noun,"denda adat yang harus dibayar karena melanggar pantangan"
"adat pembakaran mayat",noun,"adat perawatan jenazah dengan cara membakar jenazah itu"
"adat pembiaran mayat",noun,"adat perawatan jenazah dengan cara membiarkan jenazah itu di suatu tempat terpencil agar hancur sendiri di alam terbuka"
"adat pembuang",noun,"denda adat yang harus dibayar pada waktu terjadi perceraian"
"adegan kecil",noun,"adegan yang merupakan bagian dari adegan yang lebih besar"
"adegan panas",noun,"adegan yang membangkitkan rangsangan berahi"
"adegan pengikat",noun,"adegan yang menimbulkan keingintahuan dan keterikatan penonton drama dsb (karena ceritanya belum atau tidak diungkapkan secara jelas)"
"adegan terbuka",noun,"adegan yang diubah bentuknya dengan disaksikan langsung oleh penonton"
"adegan wajib",noun,"adegan yang diharapkan terjadi (dilakonkan) sehingga sesuai dengan keinginan penonton"
"adik bungsu",noun,"adik yang termuda"
"adik ipar",noun,"adik suami atau adik istri"
"adik seayah",noun,"adik berlainan ibu"
"adik seibu",noun,"adik berlainan ayah"
"adik seibu seayah",noun,"adik kandung"
"adik sepupu",noun,"anak adik atau kakak ayah atau ibu, sebagai saudara yang lebih muda (laki-laki atau perempuan)"
"adiksi seksual",noun,"ketagihan (kecanduan) seksual"
"administrasi arsip",noun,"pengumpulan, pengawetan, dan pengaturan bahan arsip untuk dapat digunakan, serta kajian teori dan praktik mengenai tata cara itu"
"administrasi kearsipan",noun,"manajemen perlengkapan arsip"
"administrasi perpustakaan",noun,"kegiatan pelengkap yang berkaitan dengan rencana memajukan dan mengembangkan perpustakaan"
"administrasi program",noun,"beraneka tugas administrasi yang sangat diperlukan untuk memelihara program asuransi, misal program pensiun"
"afasia motoris",noun,"afasia yang menyebabkan penderita tidak mampu berbicara"
"afasia sensoris",noun,"afasia yang menyebabkan penderita tidak dapat mengerti pembicaraan orang lain"
"afiks homofon",noun,"afiks yang wujud atau bunyinya sama, tetapi merupakan dua morfem atau lebih yang berbeda, misal se- pada setiba, seratus, sebesar"
"afiks terbuka",noun,"afiks yang hasil penerapannya masih dapat memperoleh afiks lain"
"afiks tertutup",noun,"afiks yang hasil penerapannya tidak dapat dibubuhi afiks lain"
"agama samawi",noun,"agama yang bersumberkan wahyu Tuhan, seperti agama Islam dan Kristen"
"agen asuransi",noun,"wakil perusahaan asuransi yang mencari, mengum-pulkan, dan melayani pemegang polis"
"agen buku",noun,"pedagang buku besar yang menyediakan berbagai jenis buku dari berbagai penerbit, pengecer, dan perpustakaan, biasanya ada dua jenis, yaitu yang menyediakan buku teks mutakhir dan buku teknik dan yang menyediakan buku lama yang masih beredar"
"agen federal",noun,"anggota badan penyelidik Amerika Serikat"
"agen kargo",noun,"agen yang mengurus pemuatan barang yang diangkut dengan kapal laut atau pengangkut lain"
"agen muatan",noun,"agen kargo"
"agen pelawatan",noun,"agen yang mengatur dan merundingkan jadwal penerbangan, perjalanan dsb untuk para pelancong"
"agen pemain",noun,"orang (ba-dan) yang bertugas mencari pemain untuk bermain drama dsb"
"agen pembaharuan",noun,"orang atau lembaga yang mendorong ter-ciptanya perubahan sosial ekonomi secara berencana (seperti penyuluh pertanian, guru)"
"agen pengarang",noun,"orang yang mewakili pengarang dalam hal urusan penjualan dan penerbitan karyanya dengan penerbit buku, dan merundingkan hak tambahan untuk penerbitan, penyiaran, dan pembuatan film"
"agen penyalur",noun,"agen atau perwakilan yang bertanggung jawab atas penyaluran atau distribusi awal suatu barang"
"agen perjalanan",noun,"agen pelawatan"
"agen polisi",noun,"polisi penjaga keamanan"
"agen publisitas",noun,"orang yang bekerja untuk memperkenalkan dan menjual nama perusaha-an, kehendak suatu golongan, personalitas seseorang, dsb kepada publik"
"agen rahasia",noun,"seseorang yang ditugasi oleh orang atau negara tertentu untuk memata-matai dan menyelidiki pihak lawan agar memperoleh informasi yang diperlukan"
"agen siasat",noun,"mata-mata; penyelidik"
"agen tunggal",noun,"penyalur satu-satunya untuk daerah tertentu"
"agen tunggal",noun,"penyalur yang me-nyelenggarakan distribusi dan penjualan"
"agen wol",noun,"perwakilan penjual wol"
"agenda politik",noun,"tema yang akan dibicarakan dalam rapat politik"
"agregat kering",noun,"partikel tanah majemuk atau sekunder yang tidak dihancurkan oleh penyaringan kering"
"agresif ofensif",adjective,"bersifat maju dan menyerang dalam suatu kegiatan (ekonomi, politik, olahraga, dsb)"
"ahli agama",noun,"orang yang mendalami ilmu agama dan ketuhanan; ulama; alim"
"ahli bahasa",noun,"orang yang mahir dalam pengetahuan bahasa"
"ahli bait",noun,"sanak keluarga serumah; kerabat terdekat"
"ahli bedah",noun,"dokter ahli dalam hal membedah (operasi)"
"ahli bumi",noun,"orang yang ahli dalam pengetahuan tanah"
"ahli famili",noun,"sanak saudara"
"ahli filsafat",noun,"orang yang memiliki kemampuan pengetahuan dan penyelidikan dengan akal budi mengenai hakikat segala yang ada, sebab, asal, dan hukumnya; filsuf"
"ahli fisika",noun,"orang yang ahli dalam bidang fisika; fisikawan"
"ahli fitopatologi",noun,"orang yang ahli dalam bidang ilmu penyakit tumbuh-tumbuhan"
"ahli gempa",noun,"ahli seismologi"
"ahli geofisika",noun,"orang yang ahli dalam menentukan ciri fisik bumi dg menggunakan metode fisika kuantitatif"
"ahli geologi",noun,"orang yang ahli dalam menafsirkan struktur, asal mula, dan perkembangan bumi serta isinya"
"ahli geologi minyak",noun,"ahli geologi yang bekerja dalam kegiatan eksplorasi atau produksi minyak dan gas bumi"
"ahli hadis",noun,"orang yang ahli dalam seluk-beluk hadis"
"ahli hadis",noun,"orang yang berpegang pada hadis; pemegang hadis"
"ahli hukum",noun,"orang yang mahir dalam ilmu hukum"
"ahli ibadah",noun,"orang yang taat menjalankan kewajiban agama (Islam dsb)"
"ahli ilmu racun",noun,"orang yang mahir dalam pembuatan dan penawar racun"
"ahli informasi",noun,"petugas informasi yang memiliki keahlian tertentu dan mampu mengelola perpustakaan ilmiah, penekanan tugasnya lebih diutamakan pada keahlian dalam pemberian jasa informasi daripada pengetahuan tentang suatu ilmu"
"ahli kitab",noun,"orang-orang yang berpegang pada ajaran kitab suci selain Alquran"
"ahli kubur",noun,"orang-orang yang telah meninggal; penghuni kubur"
"ahli maksiat",noun,"orang yang gemar melakukan perbuatan yang tercela, buruk, dsb"
"ahli matematika",noun,"orang yang ahli dalam bidang matematika; matematikawan"
"ahli media",noun,"seseorang yang memiliki pengetahuan yang luas dalam media pendidikan"
"ahli mesin kapal",noun,"perwira bagian mesin kapal niaga yang tugasnya menjalankan, merawat, dan memperbaiki semua mesin di kapal"
"ahli mikologi",noun,"orang yang ahli dalam bidang cendawan"
"ahli multimedia",noun,"orang yang menguasai bidang komunikasi perantara (perhubungan)"
"ahli nujum",noun,"orang yang pandai meramalkan sesuatu dengan melihat bintang"
"ahli nujum",noun,"orang yang pandai meramal nasib orang dengan melihat tapak tangan dsb"
"ahli obat",noun,"orang yang ahli dalam hal obat-obatan"
"ahli patung",noun,"orang yang ahli dalam membuat patung"
"ahli peneliti madya",noun,"pangkat peneliti golongan IV/d, satu tingkat di bawah ahli peneliti utama, satu tingkat di atas ahli peneliti muda, setaraf dengan pembina utama madya dalam kepangkatan struktural pegawai negeri sipil"
"ahli peneliti muda",noun,"pangkat peneliti golongan IV/c, satu tingkat di bawah ahli peneliti madya, satu tingkat di atas peneliti madya, setaraf dengan pembina utama muda dalam kepangkatan struktural pegawai negeri sipil"
"ahli peneliti utama",noun,"pangkat peneliti yang tertinggi golongan IV/e, satu tingkat di atas ahli peneliti madya, setaraf dengan pembina utama dalam kepangkatan struktural pegawai negeri sipil"
"ahli peserta",noun,"pemegang saham"
"ahli pikir",noun,"ahli filsafat"
"ahli purbakala",noun,"orang yang ahli dalam bidang ilmu sejarah dan benda purbakala"
"ahli rumah",noun,"keluarga seisi rumah"
"ahli seismologi",noun,"orang yang ahli dalam cabang ilmu yang menelaah getaran bumi, baik yang disebabkan oleh alam maupun buatan; ahli gempa"
"ahli sejarah",noun,"orang yang paham dalam ilmu sejarah"
"ahli sihir",noun,"orang yang memiliki dan menguasai ilmu sihir; juru teluh"
"ahli sufah",noun,"orang yang turut hijrah bersama Nabi Muhammad saw. dari Mekah ke Medinah dengan membawa harta seadanya, dalam keadaan serba kurang"
"ahli sufi",noun,"ahli tasawuf; ahli suluk"
"ahli suluk",noun,"orang yang menganut dan melaksanakan tarekat tertentu untuk mendekatkan diri kepada Tuhan"
"ahli sunah",noun,"kaum muslimin yang mengikuti ajaran Nabi Muhammad saw."
"ahli sunah waljamaah",noun,"kaum muslimin yang mengikuti ajaran Alquran, hadis Nabi Muhammad saw., dan menerima ijmak ulama"
"ahli tafsir",noun,"orang yang ahli dalam menerangkan maksud ayat-ayat Alquran"
"ahli tarekat",noun,"ahli suluk"
"ahli tarikh",noun,"ahli sejarah"
"ahli tasawuf",noun,"orang yang mahir dalam ilmu tasawuf"
"ahli tasawuf",noun,"orang yang menganut dan melaksanakan tasawuf"
"ahli Taurat",noun,"penganut ajaran kitab Taurat pada zaman Nabi Musa a.s."
"ahli Taurat",noun,"pengajar dan penafsir Kitab Perjanjian Lama, khususnya kelima kitab Musa (Taurat atau Pentateukh)"
"ahli tetas",noun,"orang yang mempunyai keahlian dalam bidang penetasan telur"
"ahli waris",noun,"orang yang berhak menerima warisan (harta pusaka)"
"air abu",noun,"air yang mengandung zat abu"
"air adas",noun,"larutan jenuh minyak adas dalam air"
"air adhesif",noun,"pembentukan air di sekeliling partikel tanah di atas air adsorpsi dan ditahan oleh gaya tarikan molekul yang lebih kecil kekuatannya daripada gaya air adsorpsi tanpa emisi panas yang terlihat"
"air adsorpsi",noun,"air yang terikat pada permukaan partikel padat oleh gaya molekul dengan emisi panas"
"air agresif",noun,"air yang mempunyai daya paksa mengalir ke suatu tempat"
"air aki",noun,"larutan elektrolit untuk sel (aki), dibuat dari 220 cm3 sulfat pekat yang ditambahkan 750 cm3 air suling samkel diaduk, lalu diencerkan sampai volumenya 1 dm3"
"air alam",noun,"air yang terdapat dalam alam, baik dalam atmosfer, dalam laut dengan kandungan garam yang tinggi, air permukaan yang tawar, seperti sungai dan danau, maupun air tanah"
"air alas",noun,"air masin"
"air ampuh",noun,"air bah"
"air anggur",noun,"minuman yang dibuat dari buah anggur"
"air api",noun,"zat cair yang mudah menyala seperti asam nitrat"
"air aromatik",noun,"larutan jenuh minyak asiri dalam air, cairannya jernih atau keruh, bau dan rasanya sama dengan minyak asiri"
"air artesis",noun,"air bawah permukaan dengan tekanan yang cukup kuat untuk menyebabkan air tersebut naik ke atas dasar suatu celah atau lubang lainnya"
"air arwah",noun,"air yang disediakan dalam kenduri arwah"
"air asin",noun,"air dengan salinitas yang lebih dari 40 per mil"
"air atar",noun,"minyak wangi; minyak atar"
"air awamineral",noun,"air yang dibebaskan dari zat mineral dan zat organik"
"air bad",noun,"di bawah angin"
"air bah",noun,banjir
"air bakat",noun,"air yang berolak (berkisar)"
"air balas",noun,"air laut atau air tawar yang diisikan ke kapal untuk tujuan keseimbangan kapal; air tolak bara"
"air bawaan",noun,"air yang terikat di dalam celah batuan sedimen ketika terjadi pengendapan sedimen"
"air bawah permukaan",noun,"semua air yang terdapat di permukaan tanah"
"air bawah tanah",noun,"air yang berada cukup jauh dari permukaan tanah; air tanah"
"air beku",noun,es
"air belanda",noun,"minuman terbuat dari air yang mengandung gas karbon (dioksida); air soda"
"air bena",noun,"air pasang"
"air berat",noun,"air dengan kadar deuterium tinggi"
"air bergerak",noun,"air (di daratan) yang dengan tetap mengalir ke jurusan tertentu; air mengalir"
"air bersih",noun,"air tawar yang memenuhi syarat kesehatan"
"air biru",noun,"air yang berwarna biru karena sudah dicampur dengan belau"
"air boron",noun,"air dengan atau tanpa kondisi kegaraman dan kebasaan, tetapi mengandung boron dalam jumlah terbatas"
"air celah",noun,"air di dalam retakan terbuka, biasanya hanya terdapat di dekat permukaan tanah"
"air dadih",noun,"air susu (sapi) setelah bagian kentalnya diambil"
"air diam",noun,"air yang tergenang atau air yang bergerak dengan aliran tidak tentu; air tergenang"
"air doa",noun,"air yang sudah diberi doa (mantra)"
"air emas",noun,"benang emas"
"air emas",noun,"metal cairan logam berwarna keemasan untuk melapisi perhiasan, benda seni atau benda lainnya agar tampak lebih indah; lapis emas; tinta emas"
"air fosil",noun,"air yang terperangkap dalam ruang di antara batuan dan tetap tinggal di batuan itu sejak penimbunan"
"air garam",noun,"air yang mempunyai kepekatan garam yang kemasinannya hampir sama dengan kemasinan air laut"
"air gravitasi",noun,"air yang masuk atau keluar dari tanah karena pengaruh kekuatan gaya tarik bumi"
"air gula",noun,"air yang manis dibuat dari gula"
"air hidroskopik",noun,"air yang diserap oleh partikel tanah dari atmosfer berkelembapan tinggi"
"air hidung",noun,ingus
"air irigasi",noun,"pemberian air pada tanah dalam proses irigasi"
"air jenuh",noun,"air yang dapat diserap oleh badan tanah yang mengandung air tanpa pemuaian butir tanah"
"air jeruk",noun,"minuman dari sari buah sitrun yang masam rasanya; kuas"
"air juvenil",noun,"air yang bebas magma yang mengalami penurunan suhu atau tekanan"
"air kandang",noun,"air yang berasal dari kotoran kandang"
