acap kali	adj
ad libitum	adj
adu domba	v
adu untung	v
alih aksara	n
alih fungsi	v
alih ragam	n
alter ego	n
ambek paramaarta	adj
ambil alih	v
anak emas	n
anak sungai	n
anak tiri	n
aneka ragam	adj
atas nama	n
bakas lewu	n
balas dendam	v
bango tolak	n
batu bara	n
bebas murni	n
bebas tugas	v
benzoil peroksida	n
ber -- an	bt
berhindu bersuku	v
beri tahu	v
bertangan besi	v
bertangan kosong	v
bertangan terbuka	v
besi tua	n
bijak raja	n
bit gula	n
bua tanah	n
budi daya	n
bulu tangkis	n
bumi hangus	v
bumi rata	v
cacah jiwa	n
caci maki	n
campur aduk	v
campur baur	v
cancan bulan	n
cocok tanam	v
dada ruah	n
daftar hitam	n
dari mana	pron
dari sana	pron
dari sini	pron
dari situ	pron
datu petinggi	n
daun nasi	n
daur ulang	n
daya guna	n
daya upaya	n
di mana	pron
di sana	pron
di sini	pron
di situ	pron
dies natalis	n
don juan	n
etil alkohol	n
gabungan kata	n
ganggu gugat	v
garis bawah	n
gegak gempita	adj
gerbang gersul	v
gotong royong	v
hakul adam	n
hancur lebur	v
hancur luluh	adj
haru biru	n
hijau daun	n
hina dina	adj
hitam putih	adj
hot dog	n
ikut serta	v
in absensia	adv
ingin tahu	n
insya Allah	l
Isa Almasih	n
istirahat singkat	v
jabat tangan	v
jamiatul hujaj	n
jarang laut	n
jasa boga	n
jual beli	n
jungkir balik	v
juru bicara	n
kacang dal	n
kacau balau	adj
kacip fatimah	n
kambing hitam	n
kandi putih	n
kapita selekta	n
kapur sirih	n
kartu merah	n
ke -- an	bt
kecak pinggang	v
kecil hati	adj
keleseh peseh	v
kembang biak	v
kemerosotan tanah	n
kerese pese	v
kereta api	n
keruh bumi	n
ketapakan balai	n
ketawa udang	n
khalikul alam	n
khalikul bahri	n
kirita makuta	n
kota mara	n
kotak katik	n
kukuk beluk	n
kumba emas	n
kumba mayang	n
kumis kucing	n
laku lajak	v
lalu lintas	v
lam alif	n
latar belakang	n
liang lahat	n
lilit kutu	n
lipat ganda	n
luar biasa	adj
luluh lantak	v
Maha Esa	adj
masa bodoh	adj
masya Allah	i
matang merakar	n
matang mua	n
matang muara	n
matang olahan	n
matang oseani	n
matang ovipar	n
matang ovovivipar	n
matang pantai	n
matang pari	n
matang paru-paru	n
matang paus	n
matang peda	n
matang pekasam	n
matang pipih	n
matang poleng	n
matang salai	n
matang salmon	n
matang sebelah	n
matang selar	n
matang semah	n
matang serdadu	n
matang setan	n
matang setoka	n
matang sia	n
matang sia-sia	n
matang skorpion	n
matang stungeon	n
matang sumpit	n
matang sungai	n
matang tambak	n
matang te-menggung	n
matang tepi	n
matang terbang	n
matang todak	n
matang vivipar	n
mawas diri	v
